0.00,46.97
1.00,47.01
2.00,47.05
3.00,47.09
4.00,47.13
5.00,47.17
6.00,47.21
7.00,47.25
8.00,47.29
9.00,47.33
10.00,47.37
11.00,47.41
12.00,47.45
13.00,47.49
14.00,47.53
15.00,47.57
16.00,47.61
17.00,47.65
18.00,47.69
19.00,47.73
20.00,47.77
21.00,47.81
22.00,47.85
23.00,47.89
24.00,47.93
25.00,47.97
26.00,48.01
27.00,48.05
28.00,48.09
29.00,48.13
30.00,48.17
31.00,48.21
32.00,48.25
33.00,48.29
34.00,48.33
35.00,48.37
36.00,48.41
37.00,48.45
38.00,48.49
39.00,48.53
40.00,48.57
41.00,48.61
42.00,48.65
43.00,48.69
44.00,48.73
45.00,48.77
46.00,48.81
47.00,48.85
48.00,48.89
49.00,48.93
50.00,48.97
51.00,49.01
52.00,49.05
53.00,49.09
54.00,49.13
55.00,49.17
56.00,49.21
57.00,49.25
58.00,49.29
59.00,49.33
60.00,49.37
61.00,49.41
62.00,49.45
63.00,49.49
64.00,49.53
65.00,49.57
66.00,49.61
67.00,49.65
68.00,49.69
69.00,49.73
70.00,49.77
71.00,49.81
72.00,49.85
73.00,49.89
74.00,49.93
75.00,49.97
76.00,50.01
77.00,50.05
78.00,50.09
79.00,50.13
80.00,50.17
81.00,50.21
82.00,50.25
83.00,50.29
84.00,50.33
85.00,50.37
86.00,50.41
87.00,50.45
88.00,50.49
89.00,50.53
90.00,50.57
91.00,50.61
92.00,50.65
93.00,50.69
94.00,50.73
95.00,50.77
96.00,50.81
97.00,50.85
98.00,50.89
99.00,50.93
